Name,Glottocode,Original_ID
Ainu (Southern Hokkaido),ainu1240,ainu
Balinese,bali1278,balinese
Bezhta,bezh1248,bezhta
Bora,bora1263,bora
Chintang,chhi1245,chintang
Eastern Armenian (standard Eastern Armenian),east2283,eastern-armenian
Emai,emai1241,emai
English,stan1293,english
Even,even1260,even
Evenki,even1259,evenki
German (Standard),stan1295,german
Hokkaido Japanese,hokk1249,japanese-hokkaido
Hoocąk (Wisconsin Hoocąk),hoch1243,hoocak
Icelandic,icel1247,icelandic
Italian (Standard Italian),ital1282,italian
Jakarta Indonesian,indo1316,jakarta-indonesian
Jaminjung (Both Jaminjung and Ngaliwurru varieties),djam1255,jaminjung
Japanese (standard),nucl1643,japanese-standard
Ket,kett1243,ket
Korean (Spoken Korean as used in and around Seoul),kore1280,korean
Mandarin Chinese (PTH),mand1415,mandarin
Mandinka,mand1436,mandinka
Mapudungun,mapu1245,mapudungun
Mitsukaido Japanese,east2526,japanese-mitsukaido
Modern Standard Arabic (Modern Standard Arabic),stan1318,arabic
Nen,nenn1238,nen
Nǀǀng,nuuu1241,nllng
Ojibwe (Odawa),otta1242,ojibwe
Russian,russ1263,russian
Sliammon,como1259,sliammon
Sri Lanka Malay,sril1245,sri-lanka-malay
Xârâcùù,xara1244,xaracuu
Yaqui,yaqu1251,yaqui
Yorùbá (Standard Yoruba),yoru1245,yoruba
"Yucatec Maya (dialect of Quintana Roo, zona maya)",yuca1254,yucatec-maya
Zenzontepec Chatino,zenz1235,zenzontepec-chatino
